smiles,baseline_prediction,head_impact,tail_impact,both_impact,head_importance,tail_importance,zero_head_impact,zero_tail_impact,actual_logCMC,baseline_error
CCCCCCCCCCOCCOCCOCCOCCO,-0.2476517,-0.5816259,0.7286836,0.19820815,0.5816259,0.7286836,-1.4297612,0.7286836,-0.168770306,-0.07888139020513915
CCCCCCCCO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,1.0503074,-0.83651066,-0.14311391,-0.64176965,0.83651066,0.14311391,-0.83651066,-0.14311391,1.301029996,-0.2507226029259644
CCCCCCCCC=CCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,-2.007429,-0.031200647,1.354665,1.4521651,0.031200647,1.354665,-0.053584814,1.354665,-1.698970004,-0.3084588805062256
CCCCCCCC(=O)OCC(OCCOCCO)C1OCC(OCCOCCO)C1OCCOCCOCCO,-0.2804827,-0.13941637,0.05277142,-0.46788275,0.13941637,0.05277142,-0.76627463,0.05277142,-0.349692477,0.0692097675921936
CCCCCCCC(=O)OCC(OCCOCCOCCO)C1OCC(OCCOCCO)C1OCCOCCO,-0.26063845,-0.16464075,0.054397225,-0.5534059,0.16464075,0.054397225,-0.8351227,0.054397225,-0.349692477,0.08905403138423157
CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,0.41861293,-0.18403822,-0.1771601,-0.39772105,0.18403822,0.1771601,-0.5766887,-0.1771601,0.278753601,0.13985932619841002
CCCCCCCCCCCCCCCCCC(=O)OCC1(OC2OC(CO)C(O)C(O)C2O)OC(O)C(O)C1O,-1.9603393,-0.16031146,0.38052094,1.836878,0.16031146,0.38052094,-0.16031146,1.8322709,-2.289882635,0.32954332721496593
CCCCCCCCCCCC(=O)OCC(O)COCC(O)COCC(O)COCC(O)COCC(O)COCC(O)CO,-1.1861016,-0.059718132,0.29119003,0.07172692,0.059718132,0.29119003,-0.2956351,0.29119003,-1.446116973,0.2600154171757203
CCCCCCCCCCCCNC1C(CO)OC(OC(C(O)CO)C(O)C(O)CO)C(O)C1O,-0.7542661,-0.04843086,0.75188065,0.5226738,0.04843086,0.75188065,-0.8885086,0.75188065,-0.219682688,-0.534583395240509
CCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,-0.047000356,-0.9320588,0.28407702,-0.18590549,0.9320588,0.28407702,-0.9320588,0.106288955,0.107209969,-0.15421032501854326
CCCCCCCCc1cccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)c1,-0.5216091,-0.06079769,0.079494804,-0.26837826,0.06079769,0.079494804,-0.5809744,0.079494804,-0.519993057,-0.0016160705215149118
CCCCCCCCCCCCCCCC(=O)NC(CC(C)C)C(=O)[O-].[Na+],-0.06976611,0.09125535,1.0577317,1.118669,0.09125535,1.0577317,0.09125535,1.0577317,0.176091259,-0.2458573706719246
CCCCCCC(CCC)OC1OC(CO)C(O)C(O)C1O,0.8713391,-0.25454038,-0.21150267,-0.62077135,0.25454038,0.21150267,-0.98857385,-0.21150267,1.079181246,-0.2078421632821046
CCCCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-0.9466728,-0.7565347,0.9609336,0.93328637,0.7565347,0.9609336,-0.7565347,0.9609336,-1.167491087,0.22081828979693596
CCCC(CCC)CCOCCOCCOCCOCCOCCOCCO,1.0958966,-0.7768775,-0.2450754,-1.3648789,0.7768775,0.2450754,-2.669234,-0.2450754,1.330413773,-0.23451717132305916
CC(C)CCCC(C)CCCC(C)CCOC1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,-1.3531766,-0.2539358,1.3180588,1.3118857,0.2539358,1.3180588,-0.2539358,1.3180588,-1.525783736,0.17260714221948237
CCCCCCCCCCCC(=O)OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,-0.23254685,-0.59622324,0.38694412,0.15736762,0.59622324,0.38694412,-0.59622324,0.38694412,-0.337242168,0.10469531696106721
CCCCCCCCSC1OC(=O)C(O)C1O,-0.038627025,-0.52629,0.07280085,-0.63754624,0.52629,0.07280085,-0.52629,-0.3423323,-0.318758763,0.2801317382600193
CCCCCCCCC=CCCCCCCCC(=O)NCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,-1.6438411,-0.23783588,1.3030677,1.3978752,0.23783588,1.3030677,-0.23783588,1.3030677,-1.045757491,-0.5980836564227905
CCCCCCCC/C=C\CCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,-1.3272336,0.23619688,0.47276682,0.5460623,0.23619688,0.47276682,0.23619688,0.47276682,-1.499999995,0.17276644206726077
CCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCO)cc1,-0.6431305,-0.12412512,0.046661437,-0.29432106,0.12412512,0.046661437,-0.48640698,0.046661437,-0.677780705,0.03465022375686644
CCCCCCCCc1cccc(OCCOCCO)c1,-0.94683975,-0.004131198,0.12641442,0.14454645,0.004131198,0.12641442,-0.018595397,0.12641442,-1.119758224,0.17291847418692008
CC(C)CCCC(C)CCCC(C)CCOC1OC[C@@H](O)[C@@H](O)[C@@H]1O,-1.7725736,-0.025226831,1.7581071,1.8489631,0.025226831,1.7581071,0.39382517,1.7581071,-2.431798276,0.6592246857213744
CCCCCCCCOC[C@H](O)[C@@H](O)[C@H](O)CO,0.6532539,-0.26421168,-0.37499806,-0.64052576,0.26421168,0.37499806,-0.9552052,-0.37499806,0.826074803,-0.1728208900742798
CCCCCCCCC(CC)OS(=O)(=O)[O-].C[N+](C)(C)C,1.2084047,-0.27131695,-0.2203297,-0.43675333,0.27131695,0.2203297,-0.27131695,-0.2203297,0.740362689,0.46804197122491453
CCCCCCCCCCCCCCCC(=O)OCC1OC(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,-1.5454783,-0.15937507,1.3389373,1.384409,0.15937507,1.3389373,-0.15937507,1.3389373,-2.019996628,0.47451828403637686
CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],0.064498715,0.19944057,0.06643937,0.7559072,0.19944057,0.06643937,0.19944057,0.7463272,-0.045757491,0.11025620610267257
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)COCC(O)COCC(O)COCC(O)CO,-1.6750194,-0.019548655,0.5690619,0.5442476,0.019548655,0.5690619,0.007829785,0.5690619,-1.484126156,-0.19089322743048087
CCCCC(CCCC)CCOCCOCCOCCOCCOCCOCCO,0.049381845,-0.47958186,0.641947,-0.14899774,0.47958186,0.641947,-1.8308706,0.641947,0.450249108,-0.4008672633006172
CCCCCCCCCCCC[N+](C)(C)CCCCCCCC(=O)[O-],0.22057599,-0.5840031,0.15088254,0.014046878,0.5840031,0.15088254,-0.5840031,0.15088254,0.176091259,0.04448472929269409
CCCCCCCCC=CCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-1.8192505,0.13439202,1.1423006,1.3604943,0.13439202,1.1423006,0.13439202,1.1423006,-1.26760624,-0.551644224439392
CCCCCCCCCCS(=O)CCO,0.44368994,-0.0764938,0.94138896,0.77449656,0.0764938,0.94138896,-0.42394465,0.94138896,0.204119983,0.2395699593599243
CCCCCCCCOC1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,1.0498629,-0.8360661,-0.2097947,-0.6413251,0.8360661,0.2097947,-0.8360661,-0.2097947,1.397940009,-0.34807714736669926
CCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-0.20553385,-1.0068264,0.34332645,0.15597616,1.0068264,0.34332645,-1.0068264,0.34332645,-0.346787486,0.14125363878720854
CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.8739857,-0.0061455965,0.1567195,0.15546137,0.0061455965,0.1567195,-0.14553988,0.20005292,0.322219295,0.5517664127598572
CCCCCCCCCOC[C@H](O)[C@@H](O)[C@H](O)CO,0.3242856,-0.31525695,-0.08694203,-0.29665068,0.31525695,0.08694203,-0.92515457,-0.08694203,0.322219295,0.002066301609115584
CCCCCCCC(=O)OCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.44795778,-1.8031443,0.00018885732,-2.0499208,1.8031443,0.00018885732,-4.5203705,0.012812585,0.667452953,-0.21949516906254574
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.56692356,-0.31110057,0.17265564,0.55016845,0.31110057,0.17265564,-0.31110057,0.56959325,0.556302501,0.01062105771200561
CCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-0.66792446,-0.09068358,0.30867964,0.2429465,0.09068358,0.30867964,-1.1595967,0.72698283,-0.508638306,-0.15928615774893184
CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],-1.0398847,-0.03221965,0.3219568,1.1927987,0.03221965,0.3219568,-0.03221965,1.2697849,-1.698970004,0.6590853175299682
CCCCCCCCCCON(CCOCCOCCOCCOC)CCOCCOCCOCCOC,0.51911527,-0.22641855,0.07158017,-0.5621817,0.22641855,0.07158017,-2.2739832,0.07158017,0.810232518,-0.2911172488158874
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,-2.5256798,-0.36302018,3.204913,2.255816,0.36302018,3.204913,-1.439239,3.204913,-2.63921731,0.11353748326354962
CCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],2.3045382,-0.054470062,-0.53676295,-0.8044956,0.054470062,0.53676295,-0.48804247,-0.53676295,2.230448921,0.07408932896948262
CCCCCCCCCCCCS(=O)(=O)[O-].[NH4+],0.80624,-0.06802976,0.20063299,0.51364905,0.06802976,0.20063299,-0.06802976,0.55424076,0.949390007,-0.14314998481753538
CCCCCOC(=O)CC(C(=O)OCCCCC)S(=O)(=O)[O-].[Na+],1.7579238,-0.1764661,-0.42188883,-0.9145874,0.1764661,0.42188883,-0.994929,-0.42188883,1.72427587,0.033647971476440386
CCCCCCCCCCCC(O)N(CCOCCOC)CCOCCOC,-0.24459852,-1.0934342,0.6267582,0.46131834,1.0934342,0.6267582,-1.0934342,0.6267582,-0.400116928,0.15551840521767424
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,-0.7510126,-0.025908053,0.042874277,-0.06931174,0.025908053,0.042874277,-0.10730779,0.042874277,-1.013228266,0.26221564268991093
CCCCCCC(CCC)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,0.84351844,-0.23781228,-0.11149436,-0.398307,0.23781228,0.11149436,-0.7030707,-0.11149436,1.100370545,-0.2568521090449525
CC(C)CCCC(C)CCCC(C)CCOC1OCC(O)C(O)C1O,-1.8162547,-0.08834958,1.6475163,1.6327391,0.08834958,1.6475163,-0.12652075,1.6475163,-2.314258261,0.498003526007019
CCCCCCCCCOC1OC(CO)C(O)C(O)C1O,0.77513874,-0.28180376,0.23662639,0.059046388,0.28180376,0.23662639,-0.97410834,-0.0008855462,0.838849091,-0.06371035522882085
CCCCCCCCCCCC[N+]CCO.[Cl-],1.297168,-0.43449974,-0.046661496,-0.28839362,0.43449974,0.046661496,-0.43449974,-0.046661496,1.397940009,-0.10077199256628422
CCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.7399828,-0.09426355,0.2414906,0.15925616,0.09426355,0.2414906,-1.0750246,-0.38831085,0.755874856,-0.015892072205596963
CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-0.47577515,-1.0222058,0.30125606,0.39318076,1.0222058,0.30125606,-1.0222058,0.59700584,-0.601028774,0.1252536215551605
CCCCCCCC(=O)NC1OC(CO)C(O)C(O)C1O,1.330971,-0.08386719,-0.49782854,-1.0709621,0.08386719,0.49782854,-0.68724555,-0.49782854,1.84509804,-0.5141270374212648
CCCCOCCO,2.6216486,-0.44851613,-0.9134351,-2.9052591,0.44851613,0.9134351,-2.828648,-0.9134351,2.989894564,-0.36824601396643075
CC(C)CCCC(C)CCOC1OC(CO)C(O)C(O)C1O,0.52788144,-0.2509185,0.1210264,-0.33572048,0.2509185,0.1210264,-1.0631555,0.1210264,0.602059991,-0.07417854749948116
CCCCOC[C@H](O)[C@@H](O)[C@H](O)CO,2.0043657,-0.25151563,0.082099915,-1.0982817,0.25151563,0.082099915,-1.6351628,0.082099915,1.762678564,0.2416871186019287
